Place,YEAR,MONTH,Labor Force,Employed,Unemployed,Unemployment Rate,,,,,,,,,,,
NYS,1982,11,7973878,7247062,726816, 9.1 ,,,,,,,,,,,
NYS,1982,12,7975272,7238089,737183, 9.2 ,,,,,,,,,,,
NYS,1983,1,7975079,7232729,742350, 9.3 ,,,,,,,,,,,
NYS,1983,2,7976511,7234185,742326, 9.3 ,,,,,,,,,,,
NYS,1983,3,7982910,7244713,738197, 9.2 ,,,,,,,,,,,
NYS,1983,4,7997761,7265240,732521, 9.2 ,,,,,,,,,,,
NYS,1983,5,8019832,7293924,725908, 9.1 ,,,,,,,,,,,
NYS,1983,6,8044373,7327161,717212, 8.9 ,,,,,,,,,,,
NYS,1983,7,8066458,7361277,705181, 8.7 ,,,,,,,,,,,
NYS,1983,8,8080773,7390869,689904, 8.5 ,,,,,,,,,,,
NYS,1983,9,8084502,7412353,672149, 8.3 ,,,,,,,,,,,
NYS,1983,10,8078782,7425886,652896, 8.1 ,,,,,,,,,,,
NYS,1983,11,8067726,7433476,634250, 7.9 ,,,,,,,,,,,
NYS,1983,12,8057585,7439623,617962, 7.7 ,,,,,,,,,,,
NYS,1984,1,8053218,7449882,603336, 7.5 ,,,,,,,,,,,
NYS,1984,2,8056637,7466024,590613, 7.3 ,,,,,,,,,,,
NYS,1984,3,8068225,7486063,582162, 7.2 ,,,,,,,,,,,
NYS,1984,4,8084388,7505941,578447, 7.2 ,,,,,,,,,,,
NYS,1984,5,8102352,7522726,579626, 7.2 ,,,,,,,,,,,
NYS,1984,6,8118126,7534320,583806, 7.2 ,,,,,,,,,,,
NYS,1984,7,8127075,7540016,587059, 7.2 ,,,,,,,,,,,
NYS,1984,8,8129770,7542633,587137, 7.2 ,,,,,,,,,,,
NYS,1984,9,8129062,7545795,583267, 7.2 ,,,,,,,,,,,
NYS,1984,10,8128824,7553219,575605, 7.1 ,,,,,,,,,,,
NYS,1984,11,8133760,7567724,566036, 7.0 ,,,,,,,,,,,
NYS,1984,12,8145936,7588255,557681, 6.8 ,,,,,,,,,,,
NYS,1985,1,8162398,7608817,553581, 6.8 ,,,,,,,,,,,
NYS,1985,2,8177031,7623263,553768, 6.8 ,,,,,,,,,,,
NYS,1985,3,8184560,7629801,554759, 6.8 ,,,,,,,,,,,
NYS,1985,4,8249355,7695257,554098, 6.7 ,,,,,,,,,,,
NYS,1985,5,8278164,7726502,551662, 6.7 ,,,,,,,,,,,
NYS,1985,6,8293359,7745005,548354, 6.6 ,,,,,,,,,,,
NYS,1985,7,8307718,7761951,545767, 6.6 ,,,,,,,,,,,
NYS,1985,8,8325905,7783043,542862, 6.5 ,,,,,,,,,,,
NYS,1985,9,8347996,7808417,539579, 6.5 ,,,,,,,,,,,
NYS,1985,10,8371636,7833604,538032, 6.4 ,,,,,,,,,,,
NYS,1985,11,8392584,7853542,539042, 6.4 ,,,,,,,,,,,
NYS,1985,12,8407813,7865100,542713, 6.5 ,,,,,,,,,,,
NYS,1986,1,8417695,7869249,548446, 6.5 ,,,,,,,,,,,
NYS,1986,2,8425409,7870640,554769, 6.6 ,,,,,,,,,,,
NYS,1986,3,8432690,7873009,559681, 6.6 ,,,,,,,,,,,
NYS,1986,4,8439440,7878431,561009, 6.6 ,,,,,,,,,,,
